split,cutoff_height_fraction,proportion_fully_below,count_fully_below,proportion_partially_below,count_partially_below,proportion_any_part_below,count_any_part_below,total
train,0.00,1.000000,51826,0.000000,0,1.000000,51826,51826
train,0.01,0.994790,51556,0.005210,270,1.000000,51826,51826
train,0.02,0.991336,51377,0.008644,448,0.999981,51825,51826
train,0.03,0.988423,51226,0.011500,596,0.999923,51822,51826
train,0.04,0.985702,51085,0.013931,722,0.999633,51807,51826
train,0.05,0.980666,50824,0.018408,954,0.999074,51778,51826
train,0.06,0.979007,50738,0.019546,1013,0.998553,51751,51826
train,0.07,0.977367,50653,0.020434,1059,0.997800,51712,51826
train,0.08,0.976074,50586,0.020993,1088,0.997067,51674,51826
train,0.09,0.973700,50463,0.022267,1154,0.995967,51617,51826
train,0.10,0.966388,50084,0.028229,1463,0.994617,51547,51826
train,0.11,0.959480,49726,0.033342,1728,0.992822,51454,51826
train,0.12,0.953440,49413,0.030564,1584,0.984004,50997,51826
train,0.13,0.929688,48182,0.051769,2683,0.981457,50865,51826
train,0.14,0.866013,44882,0.113650,5890,0.979663,50772,51826
train,0.15,0.845367,43812,0.130572,6767,0.975939,50579,51826
train,0.16,0.832478,43144,0.140065,7259,0.972543,50403,51826
train,0.17,0.749469,38842,0.215239,11155,0.964709,49997,51826
train,0.18,0.707155,36649,0.251553,13037,0.958708,49686,51826
train,0.19,0.623934,32336,0.329584,17081,0.953518,49417,51826
train,0.20,0.592251,30694,0.357465,18526,0.949716,49220,51826
train,0.21,0.584745,30305,0.360707,18694,0.945452,48999,51826
train,0.22,0.572145,29652,0.354108,18352,0.926253,48004,51826
train,0.23,0.512716,26572,0.334446,17333,0.847162,43905,51826
train,0.24,0.475514,24644,0.268900,13936,0.744414,38580,51826
train,0.25,0.464130,24054,0.186663,9674,0.650793,33728,51826
train,0.26,0.442674,22942,0.196523,10185,0.639197,33127,51826
train,0.27,0.420503,21793,0.210589,10914,0.631093,32707,51826
train,0.28,0.406244,21054,0.138907,7199,0.545151,28253,51826
